episode,score,mean_score,epsilon,loss
516,0,0.0000,0.7472,0.006789
517,0,0.0000,0.7467,0.005936
518,0,0.0000,0.7462,0.005310
519,0,0.0000,0.7457,0.006795
520,0,0.0000,0.7452,0.013688
521,0,0.0000,0.7447,0.014162
522,0,0.0000,0.7442,0.014314
523,0,0.0000,0.7437,0.008816
524,0,0.0000,0.7432,0.005255
525,0,0.0000,0.7428,0.008504
526,0,0.0000,0.7423,0.008285
527,0,0.0000,0.7418,0.005074
528,0,0.0000,0.7413,0.012289
529,0,0.0000,0.7408,0.008115
530,0,0.0000,0.7403,0.004737
531,0,0.0000,0.7398,0.005515
532,0,0.0000,0.7393,0.011954
533,0,0.0000,0.7388,0.007960
534,0,0.0000,0.7383,0.014874
535,0,0.0000,0.7379,0.005215
536,0,0.0000,0.7374,0.022058
537,0,0.0000,0.7369,0.005976
538,0,0.0000,0.7364,0.010420
539,0,0.0000,0.7359,0.013218
540,0,0.0000,0.7354,0.012911
541,0,0.0000,0.7349,0.020480
542,0,0.0000,0.7344,0.005374
543,0,0.0000,0.7339,0.008055
544,0,0.0000,0.7334,0.009336
545,0,0.0000,0.7329,0.011947
546,0,0.0000,0.7325,0.005176
547,0,0.0000,0.7320,0.009800
548,0,0.0000,0.7315,0.006002
549,0,0.0000,0.7310,0.007641
550,0,0.0000,0.7305,0.010927
551,0,0.0000,0.7300,0.003597
552,0,0.0000,0.7295,0.007884
553,0,0.0000,0.7290,0.010409
554,0,0.0000,0.7285,0.013772
555,0,0.0000,0.7280,0.143952
556,0,0.0000,0.7276,0.005933
557,0,0.0000,0.7271,0.009272
558,0,0.0000,0.7266,0.008505
559,0,0.0000,0.7261,0.010131
560,0,0.0000,0.7256,0.007560
561,0,0.0000,0.7251,0.003638
562,0,0.0000,0.7246,0.009949
563,0,0.0000,0.7241,0.008327
564,0,0.0000,0.7236,0.010181
565,0,0.0000,0.7231,0.013818
566,0,0.0000,0.7227,0.008866
567,0,0.0000,0.7222,0.008429
568,0,0.0000,0.7217,0.132798
569,0,0.0000,0.7212,0.032737
570,0,0.0000,0.7207,0.018498
571,0,0.0000,0.7202,0.012335
572,0,0.0000,0.7197,0.013191
573,0,0.0000,0.7192,0.011161
574,0,0.0000,0.7187,0.015543
575,0,0.0000,0.7183,0.005433
576,0,0.0000,0.7178,0.014845
577,0,0.0000,0.7173,0.012977
578,0,0.0000,0.7168,0.008600
579,0,0.0000,0.7163,0.016442
580,0,0.0000,0.7158,0.012538
581,0,0.0000,0.7153,0.021808
582,0,0.0000,0.7148,0.007391
583,0,0.0000,0.7143,0.004064
584,0,0.0000,0.7138,0.010088
585,0,0.0000,0.7134,0.020575
586,0,0.0000,0.7129,0.007631
587,0,0.0000,0.7124,0.008453
588,0,0.0000,0.7119,0.009068
589,0,0.0000,0.7114,0.007298
590,0,0.0000,0.7109,0.011198
591,0,0.0000,0.7104,0.023987
592,0,0.0000,0.7099,0.095601
593,0,0.0000,0.7094,0.006440
594,0,0.0000,0.7089,0.009958
595,0,0.0000,0.7085,0.021470
596,0,0.0000,0.7080,0.023755
597,0,0.0000,0.7075,0.017147
598,0,0.0000,0.7070,0.006341
599,0,0.0000,0.7065,0.011195
600,0,0.0000,0.7060,0.008340
601,0,0.0000,0.7055,0.005566
602,0,0.0000,0.7050,0.012265
603,0,0.0000,0.7045,0.007243
604,0,0.0000,0.7040,0.010990
605,0,0.0000,0.7036,0.014482
606,0,0.0000,0.7031,0.005070
607,0,0.0000,0.7026,0.017223
608,0,0.0000,0.7021,0.012645
609,0,0.0000,0.7016,0.003532
610,0,0.0000,0.7011,0.011008
611,0,0.0000,0.7006,0.008409
612,0,0.0000,0.7001,0.004431
613,0,0.0000,0.6996,0.046715
614,0,0.0000,0.6991,0.007286
615,0,0.0000,0.6986,0.012863
616,0,0.0000,0.6982,0.006788
617,0,0.0000,0.6977,0.006886
618,0,0.0000,0.6972,0.006752
619,0,0.0000,0.6967,0.055412
620,0,0.0000,0.6962,0.015307
